,Open,High,Low,Close,Volume,Dividends,Stock Splits
2011-09-09,3.224316173645438,3.311459658955864,3.1555184895619046,3.183037519454956,86982800,0.0,0.0
2011-09-12,3.1394664845668863,3.286234906010244,3.1394664845668863,3.258715867996216,91648000,0.0,0.0
2011-09-13,3.286234616811751,3.3481526109207507,3.235782942208328,3.332099676132202,85383600,0.0,0.0
2011-09-14,3.4192437018857063,3.547666098091169,3.416950394040531,3.504094123840332,154719200,0.0,0.0
2011-09-15,3.582065398521081,3.600411426734354,3.5224406974769904,3.554546356201172,75290800,0.0,0.0
2011-09-16,3.561425202249937,3.692140895087436,3.527026462330617,3.545372486114502,139158800,0.0,0.0
2011-09-19,3.485749284420006,3.510975241895677,3.382552801997752,3.471989870071411,96820400,0.0,0.0
2011-09-20,3.515559720630705,3.529319346167247,3.3664982406109507,3.3825509548187256,79243600,0.0,0.0
2011-09-21,3.4008991195834835,3.4605238366465145,3.3160486616254627,3.3183419704437256,71525200,0.0,0.0
2011-09-22,3.1876249843271807,3.192211600198772,3.0385634677305844,3.098188161849976,131463200,0.0,0.0
2011-09-23,3.0798421736061936,3.2518363342700947,3.061496147298195,3.1623992919921875,101144000,0.0,0.0
2011-09-26,3.201384514093344,3.210557526850556,3.027097053004435,3.169278860092163,97212400,0.0,0.0
2011-09-27,3.249543456775076,3.2770624998825384,3.1486400800124685,3.173866033554077,78138800,0.0,0.0
2011-09-28,3.1807439587499826,3.261007953566529,3.0270958900681064,3.077547550201416,123653200,0.0,0.0
2011-09-29,3.1325868349743176,3.1853318227909715,2.923900628995196,3.001871347427368,86641600,0.0,0.0
2011-09-30,2.95371256365364,2.969765279198448,2.864275536971466,2.8688621520996094,67778400,0.0,0.0
2011-10-03,2.832169966788853,2.9216067703767763,2.70833420753479,2.70833420753479,94989600,0.0,0.0
2011-10-04,2.6418309822907893,2.9583001136779785,2.6303646587009504,2.9583001136779785,136154800,0.0,0.0
2011-10-05,2.9514196673807542,3.091308167755401,2.8917949746170515,3.063789129257202,85670800,0.0,0.0
2011-10-06,3.079842295077692,3.19450507337602,3.0752556789688503,3.185332059860229,77319200,0.0,0.0
2011-10-07,3.199090016142302,3.2931134166017637,3.132585643717186,3.244955062866211,80697600,0.0,0.0
2011-10-10,3.2999955829776795,3.389432430267334,3.293115657261596,3.389432430267334,53437600,0.0,0.0
2011-10-11,3.3619125859350043,3.4169506663948828,3.341273251087077,3.3527395725250244,81608000,0.0,0.0
2011-10-12,3.416950868461899,3.4192441766254857,3.348153373169543,3.3504464626312256,61206400,0.0,0.0
2011-10-13,3.334392993897971,3.552252190357995,3.3252199820060286,3.545372486114502,85483200,0.0,0.0
2011-10-14,3.607290962698475,3.6439832360983457,3.517854134047638,3.6049978733062735,70245200,0.0,0.0
2011-10-17,3.563718292511523,3.563718292511523,3.407776881159075,3.4261229038238525,61178000,0.0,0.0
2011-10-18,3.4077771481770145,3.5591321750736813,3.3871380350883338,3.5499589443206787,59091600,0.0,0.0
2011-10-19,3.554545895749127,3.616463896974562,3.469695471578696,3.4788684844970703,55756800,0.0,0.0
2011-10-20,3.384845195896982,3.398604606527211,3.1738656708171016,3.3045811653137207,99030800,0.0,0.0
2011-10-21,3.3458598389358247,3.400897918931706,3.2655958082487477,3.320633888244629,62842800,0.0,0.0
2011-10-24,3.334393087412009,3.497214217086745,3.3275133829755723,3.444469451904297,53525600,0.0,0.0
2011-10-25,3.3963116622591007,3.423830703396617,3.3068746145357486,3.3137543201446533,57799600,0.0,0.0
2011-10-26,3.377965304726996,3.3963115502488463,3.2564228223692915,3.3527395725250244,50311600,0.0,0.0
2011-10-27,3.476574984719055,3.5316130591917365,3.398604269865156,3.4972143173217773,57773200,0.0,0.0
2011-10-28,3.467402732295343,3.609584565197577,3.45822971787268,3.577479124069214,49015600,0.0,0.0
2011-10-31,3.4628158817448544,3.483454997471281,3.394018173217773,3.394018173217773,51998400,0.0,0.0
2011-11-01,3.2701818946385286,3.279354906485546,3.192211184587955,3.2243168354034424,79082400,0.0,0.0
2011-11-02,3.256422590636617,3.2724755269881456,3.1027744629269054,3.169278860092163,96160800,0.0,0.0
2011-11-03,3.2036783737315964,3.366499542241412,3.1188279364380183,3.359619617462158,74937200,0.0,0.0
