,trend(t-5),trend(t-4),trend(t-3),trend(t-2),trend(t-1),trend(t)
2015-04-22,0.18974979980029968,0.1904619436472497,0.19106651723392074,0.1916989788437073,0.19209240134092023,0.19901861984915276
2015-04-23,0.1904619436472497,0.19106651723392074,0.1916989788437073,0.19209240134092023,0.19901861984915276,0.2039040239813481
2015-04-24,0.19106651723392074,0.1916989788437073,0.19209240134092023,0.19901861984915276,0.2039040239813481,0.2077017914125797
2015-04-27,0.1916989788437073,0.19209240134092023,0.19901861984915276,0.2039040239813481,0.2077017914125797,0.21164298459103045
2015-04-28,0.19209240134092023,0.19901861984915276,0.2039040239813481,0.2077017914125797,0.21164298459103045,0.21480928587052125
2015-04-29,0.19901861984915276,0.2039040239813481,0.2077017914125797,0.21164298459103045,0.21480928587052125,0.21259516680805784
2015-04-30,0.2039040239813481,0.2077017914125797,0.21164298459103045,0.21480928587052125,0.21259516680805784,0.2110493686417797
2015-05-01,0.2077017914125797,0.21164298459103045,0.21480928587052125,0.21259516680805784,0.2110493686417797,0.21024061217197115
2015-05-04,0.21164298459103045,0.21480928587052125,0.21259516680805784,0.2110493686417797,0.21024061217197115,0.2092177144391089
2015-05-05,0.21480928587052125,0.21259516680805784,0.2110493686417797,0.21024061217197115,0.2092177144391089,0.20972567540292159
2015-05-06,0.21259516680805784,0.2110493686417797,0.21024061217197115,0.2092177144391089,0.20972567540292159,0.210803353723969
2015-05-07,0.2110493686417797,0.21024061217197115,0.2092177144391089,0.20972567540292159,0.210803353723969,0.21178043379051642
2015-05-08,0.21024061217197115,0.2092177144391089,0.20972567540292159,0.210803353723969,0.21178043379051642,0.21275950857261375
2015-05-11,0.2092177144391089,0.20972567540292159,0.210803353723969,0.21178043379051642,0.21275950857261375,0.21353340501352774
2015-05-12,0.20972567540292159,0.210803353723969,0.21178043379051642,0.21275950857261375,0.21353340501352774,0.2140712487160057
2015-05-13,0.210803353723969,0.21178043379051642,0.21275950857261375,0.21353340501352774,0.2140712487160057,0.21330531973891625
2015-05-14,0.21178043379051642,0.21275950857261375,0.21353340501352774,0.2140712487160057,0.21330531973891625,0.21254735822565166
2015-05-15,0.21275950857261375,0.21353340501352774,0.2140712487160057,0.21330531973891625,0.21254735822565166,0.2116200776576021
2015-05-18,0.21353340501352774,0.2140712487160057,0.21330531973891625,0.21254735822565166,0.2116200776576021,0.2113202814091102
2015-05-19,0.2140712487160057,0.21330531973891625,0.21254735822565166,0.2116200776576021,0.2113202814091102,0.21125553864155053
2015-05-20,0.21330531973891625,0.21254735822565166,0.2116200776576021,0.2113202814091102,0.21125553864155053,0.21141788949001464
2015-05-21,0.21254735822565166,0.2116200776576021,0.2113202814091102,0.21125553864155053,0.21141788949001464,0.21144080022290115
2015-05-22,0.2116200776576021,0.2113202814091102,0.21125553864155053,0.21141788949001464,0.21144080022290115,0.21240791811007406
2015-05-26,0.2113202814091102,0.21125553864155053,0.21141788949001464,0.21144080022290115,0.21240791811007406,0.21267783541935875
2015-05-27,0.21125553864155053,0.21141788949001464,0.21144080022290115,0.21240791811007406,0.21267783541935875,0.21243879630678517
2015-05-28,0.21141788949001464,0.21144080022290115,0.21240791811007406,0.21267783541935875,0.21243879630678517,0.21276648057839262
2015-05-29,0.21144080022290115,0.21240791811007406,0.21267783541935875,0.21243879630678517,0.21276648057839262,0.2133162735768783
2015-06-01,0.21240791811007406,0.21267783541935875,0.21243879630678517,0.21276648057839262,0.2133162735768783,0.213831210345928
2015-06-02,0.21267783541935875,0.21243879630678517,0.21276648057839262,0.2133162735768783,0.213831210345928,0.21425052615070672
2015-06-03,0.21243879630678517,0.21276648057839262,0.2133162735768783,0.213831210345928,0.21425052615070672,0.21402343633414106
2015-06-04,0.21276648057839262,0.2133162735768783,0.213831210345928,0.21425052615070672,0.21402343633414106,0.21328439992212145
2015-06-05,0.2133162735768783,0.213831210345928,0.21425052615070672,0.21402343633414106,0.21328439992212145,0.21273560238168138
2015-06-08,0.213831210345928,0.21425052615070672,0.21402343633414106,0.21328439992212145,0.21273560238168138,0.21215592664453017
